ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000010.SZ,19991109,9.11,0.4166,0.4166,1.06,57.2541,1484.2313,7.5267,3.1652,2.636,,,14701.7448,4950.0874,4950.0874,133932.8951,45095.2962
000010.SZ,19991110,9.09,0.477,0.477,1.12,57.1284,1480.9728,7.5102,3.1582,2.6302,,,14701.7448,4950.0874,4950.0874,133638.8602,44996.2945
000010.SZ,19991111,8.91,0.2014,0.2014,0.46,55.9971,1451.6466,7.3615,3.0957,2.5781,,,14701.7448,4950.0874,4950.0874,130992.5462,44105.2787
000010.SZ,19991112,9.0,0.2459,0.2459,0.62,56.5628,1466.3097,7.4358,3.127,2.6041,,,14701.7448,4950.0874,4950.0874,132315.7032,44550.7866
000010.SZ,19991113,9.0,,,,56.5628,1466.3097,7.4358,3.127,2.6041,,,14701.7448,4950.0874,4950.0874,132315.7032,44550.7866
000010.SZ,19991114,9.0,,,,56.5628,1466.3097,7.4358,3.127,2.6041,,,14701.7448,4950.0874,4950.0874,132315.7032,44550.7866
000010.SZ,19991115,9.51,1.7367,1.7367,5.21,59.768,1549.4006,7.8572,3.3042,2.7517,,,14701.7448,4950.0874,4950.0874,139813.593,47075.3312
000010.SZ,19991116,9.37,1.8549,1.8549,3.01,58.8881,1526.5914,7.7415,3.2555,2.7112,,,14701.7448,4950.0874,4950.0874,137755.3488,46382.3189
000010.SZ,19991117,9.51,0.9153,0.9153,1.01,59.768,1549.4006,7.8572,3.3042,2.7517,,,14701.7448,4950.0874,4950.0874,139813.593,47075.3312
000010.SZ,19991118,9.59,1.4107,1.4107,1.42,60.2708,1562.4345,7.9233,3.332,2.7749,,,14701.7448,4950.0874,4950.0874,140989.7326,47471.3382
000010.SZ,19991119,9.55,1.1119,1.1119,0.9,60.0194,1555.9176,7.8903,3.3181,2.7633,,,14701.7448,4950.0874,4950.0874,140401.6628,47273.3347
000010.SZ,19991120,9.55,,,,60.0194,1555.9176,7.8903,3.3181,2.7633,,,14701.7448,4950.0874,4950.0874,140401.6628,47273.3347
000010.SZ,19991121,9.55,,,,60.0194,1555.9176,7.8903,3.3181,2.7633,,,14701.7448,4950.0874,4950.0874,140401.6628,47273.3347
000010.SZ,19991122,9.4,0.5901,0.5901,0.42,59.0767,1531.4791,7.7663,3.266,2.7199,,,14701.7448,4950.0874,4950.0874,138196.4011,46530.8216
000010.SZ,19991123,9.36,0.4101,0.4101,0.35,58.8253,1524.9621,7.7333,3.2521,2.7083,,,14701.7448,4950.0874,4950.0874,137608.3313,46332.8181
000010.SZ,19991124,9.28,0.4006,0.4006,0.45,58.3225,1511.9283,7.6672,3.2243,2.6852,,,14701.7448,4950.0874,4950.0874,136432.1917,45936.8111
000010.SZ,19991125,9.11,0.3958,0.3958,0.5,57.2541,1484.2313,7.5267,3.1652,2.636,,,14701.7448,4950.0874,4950.0874,133932.8951,45095.2962
000010.SZ,19991126,9.12,0.3461,0.3461,0.59,57.3169,1485.8605,7.535,3.1687,2.6389,,,14701.7448,4950.0874,4950.0874,134079.9126,45144.7971
000010.SZ,19991127,9.12,,,,57.3169,1485.8605,7.535,3.1687,2.6389,,,14701.7448,4950.0874,4950.0874,134079.9126,45144.7971
000010.SZ,19991128,9.12,,,,57.3169,1485.8605,7.535,3.1687,2.6389,,,14701.7448,4950.0874,4950.0874,134079.9126,45144.7971
000010.SZ,19991129,9.04,0.2723,0.2723,0.64,56.8142,1472.8267,7.4689,3.1409,2.6157,,,14701.7448,4950.0874,4950.0874,132903.773,44748.7901
000010.SZ,19991130,9.05,0.1875,0.1875,0.51,56.877,1474.4559,7.4772,3.1443,2.6186,,,14701.7448,4950.0874,4950.0874,133050.7904,44798.291
000010.SZ,19991201,9.08,0.2592,0.2592,0.81,57.0656,1479.3436,7.5019,3.1548,2.6273,,,14701.7448,4950.0874,4950.0874,133491.8428,44946.7936
000010.SZ,19991202,9.15,0.3398,0.3398,1.16,57.5055,1490.7482,7.5598,3.1791,2.6475,,,14701.7448,4950.0874,4950.0874,134520.9649,45293.2997
000010.SZ,19991203,9.05,0.3921,0.3921,1.4,56.877,1474.4559,7.4772,3.1443,2.6186,,,14701.7448,4950.0874,4950.0874,133050.7904,44798.291
000010.SZ,19991204,9.05,,,,56.877,1474.4559,7.4772,3.1443,2.6186,,,14701.7448,4950.0874,4950.0874,133050.7904,44798.291
